text,emotion
I am washing the dishes.,neutral
I feel mentally and emotionally drained.,sadness
I feel stuck in sorrow.,sadness
"I am so tense, I can't relax at all.",stress
The documents need to be filed.,neutral
I am boiling over with rage!,anger
The computer is running slowly.,neutral
I am anxious about everything that could go wrong.,stress
"I feel cheerful, content, and happy right now!",happiness
Sadness has taken all my strength.,sadness
The store has new arrivals today.,neutral
I can't stop crying. So heartbroken.,sadness
I feel mentally strained and anxious.,stress
This sorrow won’t let go.,sadness
I feel so positive and cheerful today!,happiness
I am livid and frustrated!,anger
I need to refill my water bottle.,neutral
I am celebrating life and feeling happy!,happiness
I am delighted with this fantastic outcome!,happiness
I am mad and want to shout!,anger
I feel on the brink of a breakdown.,stress
I am boiling with rage and fury!,anger
I am frazzled and overwhelmed constantly.,stress
I feel a rush of happiness all over!,happiness
I am furious beyond comprehension!,anger
I am mad and can't stay calm!,anger
"I feel energetic, positive, and happy!",happiness
I am angry and can't control myself!,anger
The train is delayed by 15 minutes.,neutral
I feel thrilled and overjoyed by everything!,happiness
"I feel delighted, content, and positive!",happiness
I am constantly frazzled and tense.,stress
Sadness consumes my soul.,sadness
The lecture notes are on the desk.,neutral
I feel rage building up inside me!,anger
I will call you back later.,neutral
I am fuming and seething with anger!,anger
I feel restless and mentally exhausted.,stress
The phone needs to be charged.,neutral
I am livid and enraged right now!,anger
I am radiating happiness and positivity!,happiness
This makes me so mad I could explode!,anger
This constant anxiety is exhausting me.,stress
I feel hopeless and shattered.,sadness
This makes me want to shout in rage!,anger
Feeling on top of the world right now!,happiness
I am thrilled and overjoyed with life!,happiness
The parking lot is full today.,neutral
My heart is full of joy and happiness!,happiness
I feel crushed by emotional pain.,sadness
I am tense and mentally exhausted.,stress
I feel trapped in sadness.,sadness
The phone is ringing in the other room.,neutral
I feel hopeless and empty.,sadness
I feel mentally trapped in stress.,stress
This nonsense is making me madder!,anger
This behavior is unacceptable and infuriating!,anger
My heart feels broken inside.,sadness
"Life is joyful, and I am enjoying every second!",happiness
This situation is outrageous and maddening!,anger
